Ticker,Company_Name,Health_Score,CCR_TTM,FCF_Status,FCF_Value,FCF_Yield,FCF_Yield_Status,Margin_Stability,Stability_Status,Asset_Growth,Asset_Growth_Status,Sloan_Ratio,Sloan_Status,Inv_Days,Inv_Days_Change,Inv_Risk,Health_Rating,Score_Details,Score_V1,Result_Tag_V1
9904.TW,寶成,60,0.49,✅ 正流入,16634.62,0.06,⚡ 偏低 (0-2%),,有效季數不足,-3.73,🏆 收縮 (<0%，謹慎經營),0.0177,✅ 健康,67.6,-0.7,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,🏆 SSS級：雙拐點確認
1802.TW,台玻,70,,✅ 正流入,2759.36,0.01,⚡ 偏低 (0-2%),,有效季數不足,-4.43,🏆 收縮 (<0%，謹慎經營),-0.0443,🏆 優秀 (現金流強勁),80.8,-3.0,✅ 健康 (穩定),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
2451.TW,創見,20,-0.41,⚠️ 負流出 (擴產),-2823.56,-0.0,⚠️ 負值 (-5~0%),,有效季數不足,-1.98,🏆 收縮 (<0%，謹慎經營),0.2883,🚫 極高風險 (財報警示),176.2,-18.8,🏆 優秀 (大幅改善),🚫 F級：拒絕往來 (財報警示),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -50, ""inv_penalty"": 10, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
3706.TW,神達,22,-0.89,⚠️ 負流出 (擴產),-7949.66,-0.02,⚠️ 負值 (-5~0%),,有效季數不足,22.59,⚠️ 高速擴張 (20-40%),0.1366,⚠️ 高風險 (財務虛胖),51.8,-16.3,🏆 優秀 (大幅改善),🛑 D級：高風險 (財務虛胖),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -30, ""inv_penalty"": 10, ""stability_bonus"": 0, ""asset_growth_bonus"": -8}",88,⭐ A級：持續性擴張
2606.TW,裕民,90,1.95,✅ 正流入,7287.49,0.06,⚡ 偏低 (0-2%),,有效季數不足,-3.68,🏆 收縮 (<0%，謹慎經營),-0.0471,🏆 優秀 (現金流強勁),13.6,-1.9,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
2615.TW,萬海,85,1.12,✅ 正流入,49394.19,0.12,⚡ 偏低 (0-2%),,有效季數不足,1.58,✅ 穩健 (0-10%),-0.0107,🏆 優秀 (現金流強勁),10.5,-1.7,✅ 健康 (穩定),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",88,🏆 SSS級：雙拐點確認
3231.TW,緯創,-15,-1.48,⚠️ 負流出 (擴產),-158478.29,-0.08,⚠️ 負值 (-5~0%),,有效季數不足,73.37,🚫 過度擴張 (>40%),0.2354,🚫 極高風險 (財報警示),49.7,3.1,✅ 健康 (穩定),🚫 F級：拒絕往來 (財報警示),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -50, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": -15}",88,⭐ A級：持續性擴張
6005.TW,群益證,65,0.78,✅ 正流入,16230.82,0.03,⚡ 偏低 (0-2%),,有效季數不足,7.9,✅ 穩健 (0-10%),-0.0286,🏆 優秀 (現金流強勁),,,不適用 (無存貨),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",88,⭐ A級：持續性擴張
2344.TW,華邦電,65,,✅ 正流入,8120.86,0.01,⚡ 偏低 (0-2%),,有效季數不足,-1.96,🏆 收縮 (<0%，謹慎經營),-0.0455,🏆 優秀 (現金流強勁),117.0,7.6,⚡ 留意 (微升),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": -5, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
1326.TW,台化,70,,✅ 正流入,28079.19,0.04,⚡ 偏低 (0-2%),,有效季數不足,-9.34,🏆 收縮 (<0%，謹慎經營),-0.0708,🏆 優秀 (現金流強勁),37.4,1.1,✅ 健康 (穩定),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
2376.TW,技嘉,20,-0.05,✅ 正流入,1639.16,-0.0,⚠️ 負值 (-5~0%),,有效季數不足,10.54,⚡ 適度擴張 (10-20%),0.1037,⚠️ 高風險 (財務虛胖),49.6,4.0,✅ 健康 (穩定),🛑 D級：高風險 (財務虛胖),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -30, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 0}",88,🏆 SSS級：雙拐點確認
2356.TW,英業達,45,-1.33,⚠️ 負流出 (擴產),-10855.49,-0.04,⚠️ 負值 (-5~0%),,有效季數不足,8.18,✅ 穩健 (0-10%),0.0671,⚡ 留意,30.8,-1.9,✅ 健康 (穩定),⚠️ C級：警示 (Sloan+CCR雙殺),"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": -10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",88,🏆 SSS級：雙拐點確認
4938.TW,和碩,95,1.45,✅ 正流入,33165.71,0.08,⚡ 偏低 (0-2%),,有效季數不足,-3.26,🏆 收縮 (<0%，謹慎經營),-0.0181,🏆 優秀 (現金流強勁),20.9,-7.5,✅ 健康 (改善),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,⭐ A級：持續性擴張
3034.TW,聯詠,60,0.73,✅ 正流入,18038.3,0.03,⚡ 偏低 (0-2%),,有效季數不足,-2.86,🏆 收縮 (<0%，謹慎經營),0.0295,✅ 健康,39.6,-1.1,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",88,🏆 SSS級：雙拐點確認
2301.TW,光寶科,70,0.86,✅ 正流入,13583.62,0.02,⚡ 偏低 (0-2%),,有效季數不足,3.54,✅ 穩健 (0-10%),0.0241,✅ 健康,62.4,-4.8,✅ 健康 (穩定),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",88,⭐ A級：持續性擴張
2412.TW,中華電,85,1.59,✅ 正流入,74944.2,0.03,⚡ 偏低 (0-2%),,有效季數不足,0.68,✅ 穩健 (0-10%),-0.0486,🏆 優秀 (現金流強勁),22.9,0.0,✅ 健康 (穩定),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",85,⭐ A級：持續性擴張
6285.TW,啟碁,90,2.59,✅ 正流入,10230.93,0.05,⚡ 偏低 (0-2%),,有效季數不足,6.65,✅ 穩健 (0-10%),-0.0877,🏆 優秀 (現金流強勁),49.9,-7.3,✅ 健康 (改善),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",83,🔥 S級：結構性拐點
2480.TW,敦陽科,50,0.51,✅ 正流入,761.07,0.01,⚡ 偏低 (0-2%),,有效季數不足,10.31,⚡ 適度擴張 (10-20%),0.0416,✅ 健康,128.4,-3.1,✅ 健康 (穩定),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 0}",83,⭐ A級：持續性擴張
6446.TW,藥華藥,85,0.98,✅ 正流入,4315.09,0.0,⚡ 偏低 (0-2%),,有效季數不足,18.2,⚡ 適度擴張 (10-20%),-0.0143,🏆 優秀 (現金流強勁),222.2,-134.3,🏆 優秀 (大幅改善),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 10, ""stability_bonus"": 0, ""asset_growth_bonus"": 0}",83,⭐ A級：持續性擴張
4958.TW,臻鼎-KY,85,2.2,✅ 正流入,36387.84,0.07,⚡ 偏低 (0-2%),,有效季數不足,5.82,✅ 穩健 (0-10%),-0.0737,🏆 優秀 (現金流強勁),43.8,-3.0,✅ 健康 (穩定),⭐ A級：質優生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 5}",83,⭐ A級：持續性擴張
3665.TW,貿聯-KY,47,0.76,✅ 正流入,6821.3,0.01,⚡ 偏低 (0-2%),,有效季數不足,28.07,⚠️ 高速擴張 (20-40%),0.0495,✅ 健康,69.8,-9.5,✅ 健康 (改善),⚠️ C級：警示,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 0, ""inv_penalty"": 5, ""stability_bonus"": 0, ""asset_growth_bonus"": -8}",83,⭐ A級：持續性擴張
2352.TW,佳世達,90,1.38,✅ 正流入,8900.1,0.06,⚡ 偏低 (0-2%),,有效季數不足,-0.12,🏆 收縮 (<0%，謹慎經營),-0.0274,🏆 優秀 (現金流強勁),66.1,0.2,✅ 健康 (穩定),🏆 S級：優質生,"{""base"": 50, ""ccr_bonus"": 15, ""ccr_extra"": 5, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",80,🔥 S級：結構性拐點
1301.TW,台塑,70,,✅ 正流入,11143.07,0.02,⚡ 偏低 (0-2%),,有效季數不足,-6.18,🏆 收縮 (<0%，謹慎經營),-0.0395,🏆 優秀 (現金流強勁),32.8,-0.8,✅ 健康 (穩定),✅ B級：正常,"{""base"": 50, ""ccr_bonus"": 0, ""ccr_extra"": 0, ""fcf_yield_bonus"": 0, ""sloan_penalty"": 10, ""inv_penalty"": 0, ""stability_bonus"": 0, ""asset_growth_bonus"": 10}",78,🔥 S級：結構性拐點
